"course_name","total_name","list_of_name"
"Optimalisasi Bisnis Menggunakan Teknik Integrasi Data ",32,"Alan Shonely -- Angele Hood -- Barry Franzosisch -- Ben Ferrer -- Brian Thompson -- Chris McAfee -- Christine Sundaresam -- Corey-Lock -- Corey Catlett -- Daniel Lacy -- Dean percer -- Deirdre Greer -- Eric Hoffmann -- Guy Thornton -- Jessica Myrick -- Jill Matthias -- Katrina Bavinger -- Keith Dawkins -- Linda Southworth -- Lycoris Saunders -- Matt Abelman -- Michael Moore -- Neil Ducich -- Patrick Jones -- Rick Wilson -- Robert Marley -- Saphhira Shifley -- Sibella Parks -- Steven Ward -- Susan Pistek -- Sylvia Foulston -- Tracy Zic"
"Manajemen dan Marketing Social Media ",34,"Alex Avila -- Arthur Prichep -- Ben Ferrer -- Chris Cortes -- Christopher Martinez -- Cindy Stewart -- Damala Kotsonis -- David Bremer -- Dean Braden -- Dennis Pardue -- Edward Nazzal -- Ellis Ballard -- Emily Grady -- Eric Hoffmann -- Eugene Moren -- Evan Henry -- John Lee -- Joseph Holt -- Karl Braun -- Keith Dawkins -- Laurel Workman -- Logan Haushalter -- Maribeth Dona -- Maxwell Schwartz -- Maya Herman -- Pamela Coakley -- Patrick Ryan -- Penelope Sewall -- Roland Fjeld -- Ross Baird -- Ryan Akin -- Thais Sissman -- Toby Ritter -- Valerie Dominguez"
"Social Media Marketing",34,"Alan Shonely -- Art Ferguson -- Barry Blumstein -- Brendan Sweed -- Brian Moss -- Cari Sayre -- David Philippe -- Dorothy Badders -- Dorris liebe -- Elpida Rittenbach -- Emily Phan -- Eric Hoffmann -- Erin Mull -- George Bell -- Hunter Glantz -- Jamie Kunitz -- Janet Martin -- John Murray -- Ken Lonsdale -- Linda Southworth -- Logan Currie -- Lycoris Saunders -- Maribeth Schnelling -- Maureen Gnade -- Michael Dominguez -- Michael Nguyen -- Patrick Ryan -- Paul Gonzalez -- Paul Prost -- Roy Collins -- Sung Shariari -- Sylvia Foulston -- Tanja Norvell -- Yoseph Carroll"
"Analisis Data menggunakan Pandas",52,"Adrian Hane -- Alan Hwang -- Alyssa Tate -- Andrew Gjertsen -- Arianne Irving -- Art Ferguson -- Barry Franzosisch -- Bradley Nguyen -- Carol Adams -- Carol Darley -- Carol Triggs -- Charles Sheldon -- Chris Selesnick -- Christine Sundaresam -- Damala Kotsonis -- Daniel Byrd -- Dean Braden -- Dean percer -- Elizabeth Moffitt -- Eugene Barchas -- Eugene Moren -- Frank Gastineau -- Helen Andreada -- Herbert Flentye -- Ivan Liston -- Janet Lee -- Jim Karlsson -- Kristen Hastings -- Laura Armstrong -- Linda Southworth -- Lisa Hazard -- Liz Pelletier -- Logan Currie -- Lori Olson -- MaryBeth Skach -- Matthew Grinstein -- Maureen Fritzler -- Meg O'Connel -- Michael Chen -- Michael Kennedy -- Mike Kennedy -- Nora Preis -- Pamela Coakley -- Patrick Jones -- Pete Kriz -- Rob Williams -- Russell Applegate -- Sanjit Jacobs -- Shahid Hopkins -- Tamara Manning -- Theresa Swint -- Victoria Pisteka"
"Periklanan dan Pemasaran Tiktok 101",63,"Aaron Hawkins -- Alan Schoenberger -- Amy Cox -- Andrew Roberts -- Andy Gerbode -- Anna Haberlin -- Anne McFarland -- Annie Zypern -- Anthony Rawles -- Arianne Irving -- Art Foster -- Becky Martin -- Beth Paige -- Beth Thompson -- Bobby Elias -- Bradley Drucker -- Candace McMahon -- Carl Weiss -- Caroline Jumper -- Chris Selesnick -- Christina VanderZanden -- Clay Rozendal -- Dave Brooks -- Dave Hallsten -- Dean percer -- Dennis Kane -- Doug Bickford -- Duane Noonan -- Edward Becker -- Edward Hooks -- Eleni McCrary -- Elpida Rittenbach -- Greg Guthrie -- Harold Pawlan -- Jim Epp -- Jonathan Doherty -- Jonathan Howell -- Laurel Beltran -- Lena Creighton -- Marc Crier -- Maxwell Schwartz -- Michael Moore -- Mitch Webber -- Mitch Willingham -- Neil Knudson -- Nicole Fjeld -- Parhena Norris -- Pauline Chand -- Philip Brown -- Rick Reed -- Roy Skaria -- Sam Craven -- Sarah Brown -- Sean Braxton -- Skye Norling -- Sung Shariari -- Susan Vittorini -- Toby Braunhardt -- Tracy Blumstein -- Tracy Zic -- William Brown -- Xylona Preis -- Yoseph Carroll"
"Konsep Data Warehouse basis Cloud",63,"Aaron Smayling -- Adrian Barton -- Alan Schoenberger -- Aleksandra Gannaway -- Andrew Roberts -- Anna Haberlin -- Anne Pryor -- Annie Zypern -- Benjamin Patterson -- Bill Overfelt -- Bradley Nguyen -- Brian Moss -- Chad Cunningham -- Charles Crestani -- Chris Selesnick -- Claudia Bergmann -- Damala Kotsonis -- Dana Kaydos -- Darren Budd -- Dave Hallsten -- Dorothy Wardle -- Elizabeth Moffitt -- Gary McGarr -- George Bell -- Guy Armstrong -- Irene Maddox -- Karen Carlisle -- Karl Braun -- Katherine Hughes -- Katherine Murray -- Kelly Andreada -- Kunst Miller -- Lela Donovan -- Lena Cacioppo -- Lena Creighton -- Lynn Smith -- MaryBeth Skach -- Meg O'Connel -- Michelle Tran -- Mick Hernandez -- Nathan Cano -- Neoma Murray -- Patrick Jones -- Patrick Ryan -- Pete Armstrong -- Pete Takahito -- Richard Bierner -- Rob Lucas -- Rob Williams -- Ruben Dartt -- Russell Applegate -- Sandra Glassco -- Sanjit Jacobs -- Shahid Shariari -- Shirley Jackson -- Stephanie Ulpright -- Susan MacKendrick -- Tiffany House -- Tony Sayre -- Vivek Sundaresam -- William Brown -- Xylona Preis -- Zuschuss Carroll"
"Dasar-dasar Bahasa Pemrograman Java Bagi Pemula",64,"Anna Haberlin -- Anne McFarland -- Benjamin Farhat -- Benjamin Venier -- Bill Eplett -- Cari Schnelling -- Chad Sievert -- Christina VanderZanden -- Clay Cheatham -- Cyma Kinney -- Cynthia Voltz -- Dan Campbell -- Dan Lawera -- David Smith -- Denise Leinenbach -- Don Weiss -- Doug O'Connell -- Duane Benoit -- Emily Ducich -- Eudokia Martin -- Evan Henry -- Evan Minnotte -- Guy Phonely -- Jamie Frazer -- Jason Fortune- -- Jeremy Lonsdale -- Jim Mitchum -- John Grady -- Jonathan Howell -- Joy Smith -- Katherine Hughes -- Katherine Murray -- Kelly Williams -- Kunst Miller -- Lena Radford -- Liz Preis -- Lynn Smith -- Mark Cousins -- Mark Hamilton -- Mark Van Huff -- Max Jones -- Max Ludwig -- Maxwell Schwartz -- Meg O'Connel -- Michael Kennedy -- Michael Moore -- Michael Paige -- Michael Stewart -- Mick Hernandez -- Nancy Lomonaco -- Nat Gilpin -- Nora Pelletier -- Pete Takahito -- Peter Fuller -- Ralph Ritter -- Rick Wilson -- Robert Waldorf -- Sample Company A -- Sanjit Chand -- Sean Braxton -- Shaun Weien -- Sonia Cooley -- Steven Roelle -- Suzanne McNair"
"Tingkatkan Kemampuan Content Writing untuk Web dan Marketing ",64,"Alejandro Savely -- Andrew Gjertsen -- Arthur Prichep -- Brian Derr -- Bruce Stewart -- Chris Selesnick -- Cindy Schnelling -- Clay Ludtke -- Corinna Mitchell -- Dan Reichenbach -- Daniel Byrd -- Daniel Raglin -- Dario Medina -- Darrin Martin -- Dave Kipp -- David Bremer -- Dean percer -- Deirdre Greer -- Denise Monton -- Dennis Bolton -- Duane Huffman -- Gary Mitchum -- Gary Zandusky -- Gene McClure -- Ionia McGrath -- Jasper Cacioppo -- Jeremy Ellison -- Jesus Ocampo -- Karen Bern -- Katherine Nockton -- Katrina Willman -- Ken Black -- Ken Lonsdale -- Lauren Leatherbury -- Logan Currie -- Matt Collister -- Michael Paige -- Mitch Willingham -- Muhammed Yedwab -- Natalie DeCherney -- Neoma Murray -- Nicole Hansen -- Nora Preis -- Odella Nelson -- Patrick Gardner -- Patrick Ryan -- Ralph Arnett -- Rick Reed -- Russell Applegate -- Sanjit Chand -- Saphhira Shifley -- Sarah Bern -- Scott Cohen -- Shirley Schmidt -- Speros Goranitis -- Steven Cartwright -- Stewart Carmichael -- Sung Shariari -- Tanja Norvell -- Ted Trevino -- Thomas Thornton -- Toby Braunhardt -- Todd Boyes -- Trudy Glocke"
"Dasar Pemrograman SQL",66,"Adam Shillingsburg -- Alejandro Ballentine -- Arthur Prichep -- Barry Gonzalez -- Ben Ferrer -- Charlotte Melton -- Christina VanderZanden -- Dave Poirier -- Dean percer -- Deirdre Greer -- Denise Monton -- Dorothy Badders -- Dorothy Wardle -- Ed Braxton -- Ed Ludwig -- Elizabeth Moffitt -- Eugene Hildebrand -- Frank Merwin -- Fred McMath -- Harold Dahlen -- Jamie Frazer -- Jane Waco -- Jonathan Doherty -- Joy Daniels -- Joy Smith -- Keith Dawkins -- Kristina Nunn -- Laurel Beltran -- Lauren Leatherbury -- Linda Cazamias -- Lindsay Shagiari -- Liz Carlisle -- Luke Weiss -- Magdelene Morse -- Maribeth Yedwab -- Mark Packer -- Matthew Grinstein -- Maureen Fritzler -- Meg O'Connel -- Michelle Moray -- Mike Pelletier -- Mitch Willingham -- Nancy Lomonaco -- Naresj Patel -- Nat Carroll -- Nick Zandusky -- Nicole Hansen -- Pamela Stobb -- Patrick O'Brill -- Patrick O'Donnell -- Paul Prost -- Raymond Buch -- Resi Polking -- Rob Dowd -- Robert Marley -- Sally Matthias -- Sandra Glassco -- Sara Luxemburg -- Stephanie Ulpright -- Steve Nguyen -- Tanja Norvell -- Ted Butterfield -- Ted Trevino -- Todd Sumrall -- Tony Sayre -- Victoria Brennan"
"Belajar Dasar-dasar Digital dan Social Media Marketing",67,"Amy Cox -- Anna Gayman -- Arianne Irving -- Benjamin Patterson -- Berenike Kampe -- Carl Weiss -- Charles Sheldon -- Chloris Kastensmidt -- Chris Selesnick -- Christine Abelman -- Christine Sundaresam -- Cindy Chapman -- Clay Ludtke -- Cynthia Arntzen -- Damala Kotsonis -- Dan Reichenbach -- Darren Budd -- Dave Poirier -- Dean Braden -- Deborah Brumfield -- Duane Noonan -- Edward Nazzal -- Emily Phan -- Filia McAdams -- Frank Atkinson -- Giulietta Baptist -- Helen Wasserman -- Herbert Flentye -- Jack O'Briant -- Jenna Caffey -- Jill Fjeld -- Jocasta Rupert -- John Lucas -- Joni Blumstein -- Julia Dunbar -- Katherine Murray -- Katherine Nockton -- Kean Takahito -- Kelly Lampkin -- Kunst Miller -- Linda Southworth -- Lisa Hazard -- Logan Haushalter -- Maria Etezadi -- Maris LaWare -- Mary O'Rourke -- Michael Granlund -- Michael Moore -- Mick Crebagga -- Pamela Stobb -- Patrick O'Donnell -- Phillina Ober -- Randy Bradley -- Rick Bensley -- Sanjit Jacobs -- Sean Wendt -- Seth Vernon -- Shahid Collister -- Shahid Hopkins -- Shirley Jackson -- Sibella Parks -- Speros Goranitis -- Stephanie Phelps -- Stephanie Ulpright -- Tamara Dahlen -- Theone Pippenger -- Tim Brockman"
